t;w;x;y;z;ax;ay;az
1239;0.26;0.29;-0.69;-0.61;20;8102;-1003
1258;0.26;0.29;-0.69;-0.61;29;8091;-975
1282;0.26;0.29;-0.69;-0.61;18;8099;-995
1309;0.26;0.29;-0.69;-0.61;9;8111;-1012
1326;0.26;0.29;-0.69;-0.61;9;8105;-1008
1343;0.26;0.29;-0.69;-0.61;10;8102;-1012
1361;0.26;0.29;-0.69;-0.61;5;8104;-1012
1380;0.26;0.29;-0.69;-0.61;0;8104;-1014
1396;0.26;0.29;-0.69;-0.61;2;8100;-1017
1414;0.26;0.29;-0.69;-0.61;1;8098;-1013
1432;0.26;0.29;-0.69;-0.61;2;8097;-1015
1449;0.26;0.29;-0.69;-0.61;2;8100;-1017
1470;0.26;0.29;-0.69;-0.61;3;8098;-1016
1487;0.26;0.29;-0.69;-0.61;3;8099;-1007
1506;0.26;0.29;-0.69;-0.61;4;8099;-1000
1523;0.26;0.29;-0.69;-0.61;2;8102;-1004
1540;0.26;0.29;-0.69;-0.61;8;8101;-1000
1558;0.26;0.29;-0.69;-0.61;12;8100;-1006
1575;0.26;0.29;-0.69;-0.61;9;8100;-1011
1594;0.26;0.29;-0.69;-0.61;7;8103;-1014
1611;0.26;0.29;-0.69;-0.61;12;8107;-1014
1628;0.26;0.29;-0.69;-0.61;17;8105;-1017
1646;0.26;0.29;-0.69;-0.61;19;8107;-1019
1664;0.26;0.29;-0.69;-0.61;18;8105;-1022
1681;0.26;0.29;-0.69;-0.61;18;8101;-1026
1701;0.26;0.29;-0.69;-0.61;18;8102;-1022
1724;0.26;0.29;-0.69;-0.61;13;8100;-1021
1741;0.26;0.29;-0.69;-0.61;13;8099;-1022
1759;0.26;0.29;-0.69;-0.61;7;8101;-1020
1776;0.26;0.29;-0.69;-0.61;9;8102;-1025
1794;0.26;0.29;-0.69;-0.61;10;8101;-1025
1812;0.26;0.29;-0.69;-0.61;8;8100;-1025
1829;0.26;0.29;-0.69;-0.61;8;8106;-1012
1846;0.26;0.29;-0.69;-0.61;8;8103;-1014
1869;0.26;0.29;-0.69;-0.61;11;8103;-1008
1888;0.26;0.29;-0.69;-0.61;13;8103;-1006
1904;0.26;0.29;-0.69;-0.61;12;8099;-1008
1924;0.26;0.29;-0.69;-0.61;13;8099;-1006
1943;0.26;0.29;-0.69;-0.61;17;8099;-1003
1961;0.26;0.29;-0.69;-0.61;16;8101;-1006
1979;0.26;0.29;-0.69;-0.61;17;8103;-1012
1995;0.26;0.29;-0.69;-0.61;14;8103;-1008
2014;0.26;0.29;-0.69;-0.61;12;8102;-1009
2032;0.26;0.29;-0.69;-0.61;14;8098;-1003
2048;0.26;0.29;-0.69;-0.61;13;8098;-1010
2066;0.26;0.29;-0.69;-0.61;15;8097;-1009
2084;0.26;0.29;-0.69;-0.61;18;8100;-1006
2102;0.26;0.29;-0.69;-0.61;20;8100;-1010
2119;0.26;0.29;-0.69;-0.61;16;8100;-1010
2140;0.26;0.29;-0.69;-0.61;15;8102;-1009
2158;0.26;0.29;-0.69;-0.61;11;8099;-1015
2178;0.26;0.29;-0.69;-0.61;10;8098;-1013
2196;0.26;0.29;-0.69;-0.61;12;8104;-1013
2212;0.26;0.29;-0.69;-0.61;8;8105;-1015
2231;0.26;0.29;-0.69;-0.61;10;8108;-1014
2249;0.26;0.29;-0.69;-0.61;10;8106;-1020
2267;0.26;0.29;-0.69;-0.61;13;8104;-1019
2283;0.26;0.29;-0.69;-0.61;16;8101;-1020
2301;0.26;0.29;-0.69;-0.61;11;8101;-1022
2320;0.26;0.29;-0.69;-0.61;14;8100;-1018
2337;0.26;0.29;-0.69;-0.61;9;8099;-1014
2354;0.26;0.29;-0.69;-0.61;8;8102;-1014
2376;0.26;0.29;-0.69;-0.61;6;8102;-1016
2395;0.26;0.29;-0.69;-0.61;8;8100;-1018
2419;0.26;0.29;-0.69;-0.61;11;8097;-1016
2436;0.26;0.29;-0.69;-0.61;11;8095;-1020
2455;0.26;0.29;-0.69;-0.61;13;8096;-1022
2472;0.26;0.29;-0.69;-0.61;13;8099;-1020
2490;0.26;0.29;-0.69;-0.61;14;8099;-1022
2507;0.26;0.29;-0.69;-0.61;13;8102;-1021
2526;0.26;0.29;-0.69;-0.61;16;8100;-1017
2544;0.26;0.29;-0.69;-0.61;14;8103;-1012
2560;0.26;0.29;-0.69;-0.61;14;8103;-1015
2578;0.26;0.29;-0.69;-0.61;11;8099;-1010
2599;0.26;0.29;-0.69;-0.61;13;8100;-1013
2618;0.26;0.29;-0.69;-0.61;16;8101;-1013
2635;0.26;0.29;-0.69;-0.61;7;8094;-1021
2652;0.26;0.29;-0.69;-0.61;11;8091;-1027
2670;0.26;0.29;-0.69;-0.61;8;8094;-1026
2688;0.26;0.29;-0.69;-0.61;9;8095;-1024
2706;0.26;0.29;-0.69;-0.61;7;8097;-1032
2722;0.26;0.29;-0.69;-0.61;6;8098;-1028
2741;0.26;0.29;-0.69;-0.61;5;8097;-1028
2759;0.26;0.29;-0.69;-0.61;8;8100;-1024
2776;0.26;0.29;-0.69;-0.61;6;8101;-1020
2797;0.26;0.29;-0.69;-0.61;7;8101;-1020
2818;0.26;0.29;-0.69;-0.61;9;8100;-1014
2837;0.26;0.29;-0.69;-0.61;7;8101;-1016
2853;0.26;0.29;-0.69;-0.61;5;8101;-1019
2871;0.26;0.29;-0.69;-0.61;8;8101;-1015
2889;0.26;0.29;-0.69;-0.61;9;8100;-1013
2908;0.26;0.29;-0.69;-0.61;7;8095;-1013
2924;0.26;0.29;-0.69;-0.61;4;8094;-1016
2941;0.26;0.29;-0.69;-0.61;2;8096;-1018
2969;0.26;0.29;-0.69;-0.61;12;8100;-1014
2987;0.26;0.29;-0.69;-0.61;7;8101;-1016
3004;0.26;0.29;-0.69;-0.61;7;8103;-1013
3021;0.26;0.29;-0.69;-0.61;9;8101;-1014
3040;0.26;0.29;-0.69;-0.61;12;8103;-1023
3061;0.26;0.29;-0.69;-0.61;12;8103;-1017
3079;0.26;0.29;-0.69;-0.61;10;8103;-1013
3095;0.26;0.29;-0.69;-0.61;5;8104;-1007
3113;0.26;0.29;-0.69;-0.61;2;8106;-1013
3132;0.26;0.29;-0.69;-0.61;8;8107;-1009
3149;0.26;0.29;-0.69;-0.61;10;8104;-1011
3166;0.26;0.29;-0.69;-0.61;9;8103;-1010
3184;0.26;0.29;-0.69;-0.61;11;8105;-1013
3202;0.26;0.29;-0.69;-0.61;10;8106;-1012
3220;0.26;0.29;-0.69;-0.61;9;8105;-1011
3239;0.26;0.29;-0.69;-0.61;7;8099;-1007
3258;0.26;0.29;-0.69;-0.61;9;8097;-1004
3279;0.26;0.29;-0.69;-0.61;9;8096;-1008
3296;0.26;0.29;-0.69;-0.61;7;8097;-1015
3313;0.26;0.29;-0.69;-0.61;9;8099;-1015
3331;0.26;0.29;-0.69;-0.61;9;8100;-1017
3350;0.26;0.29;-0.69;-0.61;7;8100;-1015
3366;0.26;0.29;-0.69;-0.61;9;8101;-1015
3384;0.26;0.29;-0.69;-0.61;11;8105;-1014
3402;0.26;0.29;-0.69;-0.61;10;8102;-1018
3421;0.26;0.29;-0.69;-0.61;12;8103;-1019
3439;0.26;0.29;-0.69;-0.61;12;8102;-1017
3456;0.26;0.29;-0.69;-0.61;8;8106;-1016
3479;0.26;0.29;-0.69;-0.61;14;8108;-1023
3509;0.26;0.29;-0.69;-0.61;2;8106;-1025
3526;0.26;0.29;-0.69;-0.61;3;8109;-1025
3543;0.26;0.29;-0.69;-0.61;3;8108;-1019
3562;0.26;0.29;-0.69;-0.61;1;8106;-1018
3579;0.26;0.29;-0.69;-0.61;-1;8108;-1011
3597;0.26;0.29;-0.69;-0.61;4;8106;-1011
3614;0.26;0.29;-0.69;-0.61;5;8105;-1010
3633;0.26;0.29;-0.69;-0.61;9;8106;-1013
3651;0.26;0.29;-0.69;-0.61;12;8109;-1009
3667;0.26;0.29;-0.69;-0.61;10;8109;-1014
3685;0.26;0.29;-0.69;-0.61;10;8111;-1015
3703;0.26;0.29;-0.69;-0.61;8;8108;-1016
3722;0.26;0.29;-0.69;-0.61;11;8104;-1015
3742;0.26;0.29;-0.69;-0.61;6;8097;-1012
3757;0.26;0.29;-0.69;-0.61;5;8096;-1016
3776;0.26;0.29;-0.69;-0.61;5;8101;-1007
3793;0.26;0.29;-0.69;-0.61;4;8102;-1008
3811;0.26;0.29;-0.69;-0.61;6;8104;-1001
3828;0.26;0.29;-0.69;-0.61;11;8104;-1005
3847;0.26;0.29;-0.69;-0.61;11;8107;-1011
3864;0.26;0.29;-0.69;-0.61;12;8103;-1012
3881;0.26;0.29;-0.69;-0.61;13;8102;-1009
3899;0.26;0.29;-0.69;-0.61;12;8098;-1009
3917;0.26;0.29;-0.69;-0.61;12;8098;-1012
3935;0.26;0.29;-0.69;-0.61;16;8097;-1006
3956;0.26;0.29;-0.69;-0.61;20;8099;-1004
3972;0.26;0.29;-0.69;-0.61;15;8101;-1003
3990;0.26;0.29;-0.69;-0.61;14;8106;-1012
4009;0.26;0.29;-0.69;-0.61;12;8108;-1018
4027;0.26;0.29;-0.69;-0.61;15;8107;-1012
4043;0.26;0.29;-0.69;-0.61;15;8102;-1017
4069;0.26;0.29;-0.69;-0.61;11;8110;-1013
5089;0.26;0.29;-0.69;-0.61;8;8105;-1009
5106;0.26;0.29;-0.69;-0.61;12;8106;-1013
5122;0.26;0.29;-0.69;-0.61;8;8108;-1010
5140;0.26;0.29;-0.69;-0.61;5;8111;-1017
5158;0.26;0.29;-0.69;-0.61;4;8107;-1018
5179;0.26;0.29;-0.69;-0.61;4;8103;-1015
