t;w;x;y;z;ax;ay;az
3016;0.00;0.05;-1.00;0.00;67;-55;-8700
3034;0.00;0.05;-1.00;0.00;66;-60;-8698
3052;0.00;0.05;-1.00;0.00;59;-61;-8693
3069;0.00;0.05;-1.00;0.00;60;-61;-8701
3086;0.00;0.05;-1.00;0.00;62;-62;-8705
3105;0.00;0.05;-1.00;0.00;57;-59;-8710
3132;0.00;0.05;-1.00;0.00;57;-57;-8705
3148;0.00;0.05;-1.00;0.00;58;-56;-8700
3166;0.00;0.05;-1.00;0.00;61;-55;-8696
3183;0.00;0.05;-1.00;0.00;60;-53;-8693
3200;0.00;0.05;-1.00;0.00;60;-52;-8685
3218;0.00;0.05;-1.00;0.00;58;-55;-8688
3244;0.00;0.04;-1.00;0.00;60;-49;-8703
3262;0.00;0.04;-1.00;0.00;60;-50;-8705
3279;0.00;0.04;-1.00;0.00;61;-51;-8707
3296;0.00;0.04;-1.00;0.00;58;-53;-8699
3313;0.00;0.04;-1.00;0.00;60;-53;-8693
3330;0.00;0.04;-1.00;0.00;60;-54;-8690
3348;0.00;0.04;-1.00;0.00;60;-55;-8682
3369;0.00;0.04;-1.00;0.00;60;-57;-8676
3387;0.00;0.04;-1.00;0.00;59;-57;-8679
3402;0.00;0.04;-1.00;0.00;61;-58;-8682
3420;0.00;0.04;-1.00;0.00;60;-59;-8686
3439;0.00;0.04;-1.00;0.00;54;-59;-8688
3456;0.00;0.04;-1.00;0.00;52;-56;-8689
3472;0.00;0.04;-1.00;0.00;54;-55;-8695
3489;0.00;0.04;-1.00;0.00;52;-56;-8692
3508;0.00;0.04;-1.00;0.00;55;-56;-8692
3525;0.00;0.04;-1.00;0.00;61;-52;-8696
3541;0.00;0.04;-1.00;0.00;57;-51;-8698
3559;0.00;0.04;-1.00;0.00;57;-53;-8701
3577;0.00;0.04;-1.00;0.00;57;-53;-8694
3598;0.00;0.04;-1.00;0.00;51;-52;-8692
3613;0.00;0.04;-1.00;0.00;52;-54;-8698
3633;0.00;0.04;-1.00;0.00;56;-58;-8700
3650;0.00;0.04;-1.00;0.00;59;-60;-8702
3666;0.00;0.04;-1.00;0.00;57;-64;-8701
3682;0.00;0.04;-1.00;0.00;53;-64;-8704
3701;0.00;0.04;-1.00;0.00;52;-68;-8699
3720;0.00;0.04;-1.00;0.00;56;-71;-8696
3735;0.00;0.04;-1.00;0.00;60;-65;-8692
3751;0.00;0.04;-1.00;0.00;59;-66;-8699
3770;0.00;0.04;-1.00;0.00;60;-64;-8701
3788;0.00;0.04;-1.00;0.00;61;-61;-8704
3814;0.00;0.04;-1.00;0.00;59;-55;-8702
3831;0.00;0.04;-1.00;0.00;59;-54;-8697
4853;0.00;0.04;-1.00;0.00;60;-61;-8706
4871;0.00;0.04;-1.00;0.00;67;-59;-8702
4887;0.00;0.04;-1.00;0.00;70;-55;-8699
4903;0.00;0.04;-1.00;0.00;74;-55;-8702
4921;0.00;0.04;-1.00;0.00;74;-56;-8700
4938;0.00;0.04;-1.00;0.00;71;-55;-8701
4956;0.00;0.04;-1.00;0.00;66;-54;-8696
4972;0.00;0.04;-1.00;0.00;67;-54;-8692
4989;0.00;0.04;-1.00;0.00;73;-56;-8693
5007;0.00;0.04;-1.00;0.00;70;-60;-8697
5024;0.00;0.04;-1.00;0.00;67;-59;-8702
5044;0.00;0.04;-1.00;0.00;66;-59;-8703
5061;0.00;0.04;-1.00;0.00;70;-57;-8703
5079;0.00;0.04;-1.00;0.00;73;-53;-8696
5097;0.00;0.04;-1.00;0.00;73;-54;-8694
5112;0.00;0.04;-1.00;0.00;72;-57;-8692
5130;0.00;0.04;-1.00;0.00;69;-58;-8688
5149;0.00;0.04;-1.00;0.00;66;-58;-8692
5165;0.00;0.04;-1.00;0.00;64;-59;-8687
5182;0.00;0.04;-1.00;0.00;59;-60;-8690
5199;0.00;0.04;-1.00;0.00;57;-59;-8695
5218;0.00;0.04;-1.00;0.00;57;-56;-8696
5235;0.00;0.04;-1.00;0.00;58;-57;-8689
5250;0.00;0.04;-1.00;0.00;56;-60;-8697
5272;0.00;0.04;-1.00;0.00;55;-58;-8691
5290;0.00;0.04;-1.00;0.00;56;-54;-8691
5306;0.00;0.04;-1.00;0.00;56;-52;-8691
5322;0.00;0.04;-1.00;0.00;59;-52;-8685
5341;0.00;0.04;-1.00;0.00;59;-50;-8691
5359;0.00;0.04;-1.00;0.00;59;-49;-8700
5376;0.00;0.04;-1.00;0.00;57;-52;-8705
5403;0.00;0.04;-1.00;0.00;59;-48;-8692
5454;0.00;0.04;-1.00;0.00;59;-44;-8692
5471;0.00;0.04;-1.00;0.00;57;-44;-8690
5487;0.00;0.04;-1.00;0.00;55;-44;-8693
5502;0.00;0.04;-1.00;0.00;58;-46;-8696
5522;0.00;0.04;-1.00;0.00;56;-48;-8692
5542;0.00;0.04;-1.00;0.00;59;-51;-8697
5559;0.00;0.04;-1.00;0.00;61;-51;-8694
5575;0.00;0.04;-1.00;0.00;57;-50;-8693
5595;0.00;0.04;-1.00;0.00;60;-50;-8693
5611;0.00;0.04;-1.00;0.00;61;-52;-8697
5627;0.00;0.04;-1.00;0.00;60;-56;-8697
5645;0.00;0.04;-1.00;0.00;61;-59;-8699
5663;0.00;0.04;-1.00;0.00;64;-60;-8699
5680;0.00;0.04;-1.00;0.00;61;-59;-8692
5696;0.00;0.04;-1.00;0.00;58;-58;-8690
5713;0.00;0.04;-1.00;0.00;56;-56;-8685
5732;0.00;0.04;-1.00;0.00;59;-58;-8683
5749;0.00;0.04;-1.00;0.00;63;-54;-8684
5769;0.00;0.04;-1.00;0.00;67;-52;-8688
5786;0.00;0.04;-1.00;0.00;66;-54;-8684
5803;0.00;0.04;-1.00;0.00;65;-52;-8689
5821;0.00;0.04;-1.00;0.00;65;-54;-8689
5838;0.00;0.04;-1.00;0.00;69;-54;-8688
5855;0.00;0.04;-1.00;0.00;65;-52;-8693
5872;0.00;0.04;-1.00;0.00;65;-51;-8701
5889;0.00;0.04;-1.00;0.00;70;-51;-8699
5907;0.00;0.04;-1.00;0.00;66;-52;-8704
5932;0.00;0.04;-1.00;0.00;61;-55;-8679
5950;0.00;0.04;-1.00;0.00;65;-55;-8681
5967;0.00;0.04;-1.00;0.00;66;-52;-8682
5989;0.00;0.04;-1.00;0.00;69;-53;-8684
6004;0.00;0.04;-1.00;0.00;70;-52;-8688
6022;0.00;0.04;-1.00;0.00;72;-50;-8685
6040;0.00;0.04;-1.00;0.00;70;-53;-8686
6057;0.00;0.04;-1.00;0.00;69;-53;-8693
6074;0.00;0.04;-1.00;0.00;64;-51;-8689
6091;0.00;0.04;-1.00;0.00;62;-53;-8687
6110;0.00;0.04;-1.00;0.00;56;-55;-8692
6126;0.00;0.04;-1.00;0.00;60;-55;-8693
6142;0.00;0.04;-1.00;0.00;62;-53;-8691
6160;0.00;0.04;-1.00;0.00;67;-51;-8684
6178;0.00;0.04;-1.00;0.00;64;-54;-8678
