t;w;x;y;z;ax;ay;az
1024;-0.08;-0.09;-0.75;-0.65;15;8100;-1116
1042;-0.08;-0.09;-0.75;-0.65;18;8101;-1112
1060;-0.08;-0.09;-0.75;-0.65;15;8104;-1112
1077;-0.08;-0.09;-0.75;-0.65;13;8103;-1117
1094;-0.08;-0.09;-0.75;-0.65;18;8101;-1116
1110;-0.08;-0.09;-0.75;-0.65;18;8103;-1113
1130;-0.08;-0.09;-0.75;-0.65;13;8102;-1109
1149;-0.08;-0.09;-0.75;-0.65;11;8102;-1110
1165;-0.08;-0.09;-0.75;-0.65;13;8098;-1107
1182;-0.08;-0.09;-0.75;-0.65;13;8096;-1109
1201;-0.08;-0.09;-0.75;-0.65;17;8095;-1112
1220;-0.08;-0.09;-0.75;-0.65;21;8096;-1119
1240;-0.08;-0.09;-0.75;-0.65;13;8097;-1120
1260;-0.08;-0.09;-0.75;-0.65;12;8095;-1125
1283;-0.08;-0.09;-0.75;-0.65;9;8096;-1124
1300;-0.08;-0.09;-0.75;-0.65;7;8094;-1120
1316;-0.08;-0.09;-0.75;-0.65;7;8094;-1117
1333;-0.08;-0.09;-0.75;-0.65;7;8102;-1115
1353;-0.08;-0.09;-0.75;-0.65;8;8100;-1116
1370;-0.08;-0.09;-0.75;-0.65;9;8098;-1114
1387;-0.08;-0.09;-0.75;-0.65;15;8100;-1115
1405;-0.08;-0.09;-0.75;-0.65;14;8103;-1122
1424;-0.08;-0.09;-0.75;-0.65;13;8101;-1121
1446;-0.08;-0.09;-0.75;-0.65;15;8098;-1125
1476;-0.08;-0.09;-0.75;-0.65;13;8102;-1123
1492;-0.08;-0.09;-0.75;-0.65;11;8099;-1125
1511;-0.08;-0.09;-0.75;-0.65;12;8100;-1124
1529;-0.08;-0.09;-0.75;-0.65;12;8098;-1125
1554;-0.08;-0.09;-0.75;-0.65;25;8098;-1113
1572;-0.08;-0.09;-0.75;-0.65;24;8100;-1118
1591;-0.08;-0.09;-0.75;-0.65;21;8095;-1127
1609;-0.08;-0.09;-0.75;-0.65;19;8095;-1135
1625;-0.08;-0.09;-0.75;-0.65;16;8095;-1133
1644;-0.08;-0.09;-0.75;-0.65;15;8095;-1124
1662;-0.08;-0.09;-0.75;-0.65;15;8092;-1115
1683;-0.08;-0.09;-0.75;-0.65;16;8095;-1110
1701;-0.08;-0.09;-0.75;-0.65;15;8090;-1116
1718;-0.08;-0.09;-0.75;-0.65;13;8090;-1119
1736;-0.08;-0.09;-0.75;-0.65;22;8094;-1118
1754;-0.08;-0.09;-0.75;-0.65;19;8095;-1118
1772;-0.08;-0.09;-0.75;-0.65;23;8098;-1117
1790;-0.08;-0.09;-0.75;-0.65;22;8097;-1119
1808;-0.08;-0.09;-0.75;-0.65;23;8099;-1122
