t;w;x;y;z;ax;ay;az
1054;0.64;0.74;0.16;0.14;6;8088;-1236
1071;0.64;0.74;0.16;0.14;7;8087;-1230
1088;0.64;0.74;0.16;0.14;13;8084;-1228
1104;0.64;0.74;0.16;0.14;16;8086;-1226
1121;0.64;0.74;0.16;0.14;22;8081;-1225
1139;0.64;0.74;0.16;0.14;27;8082;-1228
1156;0.64;0.74;0.16;0.14;24;8081;-1232
1174;0.64;0.74;0.16;0.14;21;8080;-1237
1191;0.64;0.74;0.16;0.14;22;8081;-1243
1208;0.64;0.74;0.16;0.14;15;8085;-1257
1226;0.64;0.74;0.16;0.14;5;8093;-1266
1243;0.64;0.74;0.16;0.14;-3;8097;-1275
1261;0.64;0.74;0.16;0.14;0;8094;-1280
1280;0.64;0.74;0.16;0.14;0;8091;-1280
1298;0.64;0.74;0.16;0.14;-3;8085;-1272
1316;0.64;0.74;0.16;0.14;-1;8082;-1270
1333;0.64;0.74;0.16;0.14;0;8084;-1267
1350;0.64;0.74;0.16;0.14;0;8083;-1263
1367;0.64;0.74;0.16;0.14;1;8086;-1256
1386;0.64;0.74;0.16;0.14;3;8093;-1252
1403;0.64;0.74;0.16;0.14;3;8091;-1244
1419;0.64;0.74;0.16;0.14;22;8085;-1211
1437;0.64;0.74;0.16;0.14;28;8079;-1192
1455;0.64;0.74;0.16;0.14;28;8083;-1204
1473;0.64;0.74;0.16;0.14;19;8080;-1219
1489;0.64;0.74;0.16;0.14;14;8082;-1228
1511;0.64;0.74;0.16;0.14;12;8085;-1236
1529;0.64;0.74;0.16;0.14;12;8086;-1244
1545;0.64;0.74;0.16;0.14;11;8083;-1242
1561;0.64;0.74;0.16;0.14;7;8086;-1237
1584;0.64;0.74;0.16;0.14;13;8087;-1232
1603;0.64;0.74;0.16;0.14;16;8085;-1232
1619;0.64;0.74;0.16;0.14;16;8085;-1235
1634;0.64;0.74;0.16;0.14;14;8085;-1233
1654;0.64;0.74;0.16;0.14;17;8086;-1241
1672;0.64;0.74;0.16;0.14;14;8088;-1238
1689;0.64;0.74;0.16;0.14;13;8092;-1237
1704;0.64;0.74;0.16;0.14;17;8092;-1236
1724;0.64;0.74;0.16;0.14;21;8091;-1227
1744;0.64;0.74;0.16;0.14;24;8091;-1218
1760;0.64;0.74;0.16;0.14;20;8090;-1221
1778;0.64;0.74;0.16;0.14;17;8091;-1223
1796;0.64;0.74;0.16;0.14;17;8090;-1221
1814;0.64;0.74;0.16;0.14;17;8090;-1231
1830;0.64;0.74;0.16;0.14;18;8087;-1230
1847;0.64;0.74;0.16;0.14;17;8086;-1228
1866;0.64;0.74;0.16;0.14;18;8087;-1229
1883;0.64;0.74;0.16;0.14;17;8087;-1230
1900;0.64;0.74;0.16;0.14;14;8085;-1235
1917;0.64;0.74;0.16;0.14;10;8087;-1238
1936;0.64;0.74;0.16;0.14;13;8085;-1231
1956;0.64;0.74;0.16;0.14;14;8080;-1216
1973;0.64;0.74;0.16;0.14;12;8077;-1214
1991;0.64;0.74;0.16;0.14;11;8080;-1214
2008;0.64;0.74;0.16;0.14;13;8079;-1209
2026;0.64;0.74;0.16;0.14;14;8082;-1201
2043;0.64;0.74;0.16;0.14;19;8083;-1203
2060;0.64;0.74;0.16;0.14;16;8084;-1204
2078;0.64;0.74;0.16;0.14;16;8084;-1213
2095;0.64;0.74;0.16;0.14;16;8086;-1212
2113;0.64;0.74;0.16;0.14;16;8086;-1217
2130;0.64;0.74;0.16;0.14;17;8087;-1221
2154;0.64;0.74;0.16;0.14;18;8079;-1236
2171;0.64;0.74;0.16;0.14;12;8081;-1234
2193;0.64;0.74;0.16;0.14;10;8086;-1232
2209;0.64;0.74;0.16;0.14;11;8085;-1232
2226;0.64;0.74;0.16;0.14;16;8085;-1230
2246;0.64;0.74;0.16;0.14;13;8086;-1235
2262;0.64;0.74;0.16;0.14;13;8085;-1231
2279;0.64;0.74;0.16;0.14;13;8083;-1230
2296;0.64;0.74;0.16;0.14;12;8082;-1230
