t;w;x;y;z;ax;ay;az
1053;-0.01;0.98;0.20;0.00;52;-123;-8768
1070;-0.01;0.98;0.20;0.00;51;-128;-8771
1087;-0.01;0.98;0.20;0.00;51;-131;-8773
1103;-0.01;0.98;0.20;0.00;49;-132;-8773
1122;-0.01;0.98;0.20;0.00;48;-128;-8774
1139;-0.01;0.98;0.20;0.00;51;-128;-8772
1155;-0.01;0.98;0.20;0.00;52;-131;-8763
1173;-0.01;0.98;0.20;0.00;54;-130;-8760
1191;-0.01;0.98;0.20;0.00;48;-128;-8765
1209;-0.01;0.98;0.20;0.00;45;-127;-8766
1225;-0.01;0.98;0.20;0.00;48;-128;-8767
1242;-0.01;0.98;0.20;0.00;46;-129;-8768
1261;-0.01;0.98;0.20;0.00;47;-128;-8766
1276;-0.01;0.98;0.20;0.00;49;-128;-8771
1292;-0.01;0.98;0.20;0.00;46;-132;-8768
1309;-0.01;0.98;0.20;0.00;47;-132;-8772
1328;-0.01;0.98;0.20;0.00;45;-131;-8777
1345;-0.01;0.98;0.20;0.00;48;-127;-8781
1361;-0.01;0.98;0.20;0.00;48;-127;-8776
1379;-0.01;0.98;0.20;0.00;49;-124;-8777
1398;-0.01;0.98;0.20;0.00;48;-124;-8778
1415;-0.01;0.98;0.20;0.00;53;-125;-8777
1431;-0.01;0.98;0.20;0.00;53;-125;-8775
1448;-0.01;0.98;0.20;0.00;49;-122;-8778
1467;-0.01;0.98;0.20;0.00;49;-119;-8780
1487;-0.01;0.98;0.20;0.00;49;-122;-8779
1504;-0.01;0.98;0.20;0.00;48;-123;-8773
1522;-0.01;0.98;0.20;0.00;52;-127;-8772
1540;-0.01;0.98;0.20;0.00;53;-130;-8776
1557;-0.01;0.98;0.20;0.00;58;-126;-8774
1572;-0.01;0.98;0.20;0.00;58;-131;-8772
1592;-0.01;0.98;0.20;0.00;19610;-31891;6488
1613;-0.01;0.98;0.20;0.00;55;-129;-8772
1629;-0.01;0.98;0.20;0.00;56;-131;-8771
1645;-0.01;0.98;0.20;0.00;54;-133;-8768
1664;-0.01;0.98;0.20;0.00;55;-133;-8767
1683;-0.01;0.98;0.20;0.00;58;-130;-8765
1701;-0.01;0.98;0.20;0.00;57;-130;-8763
1719;-0.01;0.98;0.20;0.00;56;-128;-8770
1737;-0.01;0.98;0.20;0.00;56;-129;-8771
1754;-0.01;0.98;0.20;0.00;54;-133;-8775
1771;-0.01;0.98;0.20;0.00;51;-131;-8772
1788;-0.01;0.98;0.20;0.00;47;-129;-8768
1807;-0.01;0.98;0.20;0.00;52;-128;-8763
1824;-0.01;0.98;0.20;0.00;55;-132;-8763
1840;-0.01;0.98;0.20;0.00;51;-130;-8762
1858;-0.01;0.98;0.20;0.00;55;-128;-8762
1876;-0.01;0.98;0.20;0.00;56;-125;-8762
1894;-0.01;0.98;0.20;0.00;57;-127;-8767
1909;-0.01;0.98;0.20;0.00;58;-128;-8768
1931;-0.01;0.98;0.20;0.00;58;-127;-8770
1949;-0.01;0.98;0.20;0.00;58;-127;-8765
1965;-0.01;0.98;0.20;0.00;55;-123;-8770
1984;-0.01;0.98;0.20;0.00;53;-125;-8778
2001;-0.01;0.98;0.20;0.00;45;-124;-8782
